# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 356, mean track length: 2
102 -7.99127 -5.58664 45.3142 121 100 75 0.265163 1 981 2 807
103 -6.26808 -4.98351 47.4518 164 123 68 0.121741 1 984 2 854
104 -5.30187 -5.64357 46.2763 220 182 131 0.0944057 1 985 2 811
105 -5.42315 -5.42039 46.8609 212 172 112 0.191712 1 986 2 1489
106 -5.49221 -5.13246 47.4016 219 180 122 0.513397 1 988 2 1921
107 -3.59212 -5.62896 46.4094 218 180 124 0.0505358 1 989 2 816
108 -3.36904 -5.40289 46.8841 185 153 102 0.0668106 1 992 2 1493
109 -2.9179 -5.55497 47.0495 151 111 60 0.075292 1 993 2 1460
110 2.03716 -5.50857 47.7399 156 119 71 0.184817 1 998 2 1468
111 2.62749 -5.6602 47.6707 255 231 153 0.290892 1 1001 2 830
112 6.53717 -5.35839 45.6991 255 235 171 0.0162649 1 1008 2 838
113 6.53717 -5.35839 45.6991 255 235 171 0.0162649 1 1009 2 837
114 7.19573 -5.36056 45.7772 236 203 146 0.0150817 1 1011 2 840
115 -5.60935 -4.74423 47.5034 216 180 125 0.151242 1 1023 2 265
116 -5.75663 -4.5758 47.7324 140 105 55 0.0335497 1 1024 2 894
117 -5.79489 -4.33594 48.0075 133 99 56 0.0435012 1 1025 2 897
118 6.0484 -4.60731 48.0111 225 190 138 0.0605581 1 1030 2 870
119 8.25545 -4.47071 44.5332 255 239 184 0.0087663 1 1035 2 1507
120 -8.03419 -3.85722 47.9801 111 78 37 0.0197861 1 1045 2 914
121 -8.14403 -3.76646 47.654 147 119 81 0.01606 1 1046 2 913
122 -8.08828 -3.50076 48.2733 102 71 31 0.0881669 1 1048 2 1551
123 -7.58159 -3.37699 49.1932 151 109 62 0.0409584 1 1050 2 1553
124 -4.00806 -3.72145 50.6274 152 109 60 0.104813 1 1054 2 954
125 -3.36942 -3.51017 51.008 137 96 50 0.0338027 1 1056 2 324
126 -3.36942 -3.51017 51.008 137 96 50 0.0338027 1 1057 2 323
127 -2.9345 -3.46327 51.1902 151 103 53 0.0751597 1 1058 2 959
128 0.632554 -3.38048 51.6361 255 248 176 0.128909 1 1061 2 328
129 5.60666 -3.76649 49.3472 250 211 145 0.287099 1 1070 2 1533
130 -11.6536 -2.80502 50.8967 99 72 44 0.112424 1 1083 2 983
